legal_name,regulator_code,regulator,jurisdiction,license_number,license_type,status,license_date,approved_domains,forex_broker,classification_confidence,classification_reason,evidence_url,evidence_status,needs_review,source_url,last_checked
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ASIC,Australian Securities and Investments Commission,Australia,234527,Australian Financial Services Licence,ACTIVE,01/10/2003,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AUSTRALIAN BOND EXCHANGE PTY. LTD.,ASIC,Australian Securities and Investments Commission,Australia,484453,Australian Financial Services Licence,ACTIVE,07/07/2016,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AUSTRALIAN ETHICAL INVESTMENT LTD,ASIC,Australian Securities and Investments Commission,Australia,229949,Australian Financial Services Licence,ACTIVE,01/03/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AUSTRALIAN FINANCIAL LICENCING GROUP PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,269868,Australian Financial Services Licence,ACTIVE,10/06/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AUSTRALIAN INVESTMENT EXCHANGE LIMITED,ASIC,Australian Securities and Investments Commission,Australia,241400,Australian Financial Services Licence,ACTIVE,10/03/2004,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AUSTRALIAN UNITY LIFE BONDS PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,230522,Australian Financial Services Licence,ACTIVE,01/12/2003,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AUSTRALIAN WEALTH SERVICES PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,341926,Australian Financial Services Licence,ACTIVE,14/12/2009,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AVA CAPITAL MARKETS AUSTRALIA PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,406684,Australian Financial Services Licence,ACTIVE,09/11/2011,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AW FINTECH PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,443886,Australian Financial Services Licence,ACTIVE,12/11/2013,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AWARE SUPER PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,293340,Australian Financial Services Licence,ACTIVE,03/02/2006,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
