action,profile_slug,brand_name,source_value,canonical_value,license_number,evidence_url
NORMALIZED_REGULATOR_NAME,macro,MACRO,ASIC,ASIC,,https://www.macroglobalmarkets.com/home
NORMALIZED_REGULATOR_NAME,macro,MACRO,FSA Seychelles,FSA Seychelles,,https://www.macroglobalmarkets.com/home
NORMALIZED_REGULATOR_NAME,neex,Neex,ASIC,ASIC,,https://www.neex.com/
NORMALIZED_REGULATOR_NAME,neex,Neex,FSCA,FSCA,,https://www.neex.com/
NORMALIZED_REGULATOR_NAME,orbex-2,Orbex,CySEC,CySEC,,https://www.orbex.com.cy/
NORMALIZED_REGULATOR_NAME,orbex-2,Orbex,FSA Seychelles,FSA Seychelles,,https://www.orbex.com.cy/
NORMALIZED_REGULATOR_NAME,orbex-2,Orbex,FSC Mauritius,FSC Mauritius,,https://www.orbex.com.cy/
NORMALIZED_REGULATOR_NAME,pgmarkets,PGMarkets,FSCA,FSCA,,https://www.pg-markets.com/en/
NORMALIZED_REGULATOR_NAME,pgmarkets,PGMarkets,FSA Seychelles,FSA Seychelles,,https://www.pg-markets.com/en/
NORMALIZED_REGULATOR_NAME,plotio,PLOTIO,ASIC,ASIC,,https://en.plotioglobal-group.com/
NORMALIZED_REGULATOR_NAME,plotio,PLOTIO,FSA Seychelles,FSA Seychelles,,https://en.plotioglobal-group.com/
NORMALIZED_REGULATOR_NAME,plotio,PLOTIO,SCB,SCB,,https://en.plotioglobal-group.com/
NORMALIZED_REGULATOR_NAME,squaredfinancial,squaredfinancial,CySEC,CySEC,,https://www.sqfin.com/
NORMALIZED_REGULATOR_NAME,squaredfinancial,squaredfinancial,FSA Seychelles,FSA Seychelles,,https://www.sqfin.com/
NORMALIZED_REGULATOR_NAME,tradequo,TradeQuo,FSCA,FSCA,,https://www.tradequo.com/
NORMALIZED_REGULATOR_NAME,tradequo,TradeQuo,FSA Seychelles,FSA Seychelles,,https://www.tradequo.com/
NORMALIZED_REGULATOR_NAME,trust-capital,trust Capital,CySEC,CySEC,,https://trustcapital.com/
NORMALIZED_REGULATOR_NAME,trust-capital,trust Capital,FSA Seychelles,FSA Seychelles,,https://trustcapital.com/
NORMALIZED_REGULATOR_NAME,valutrades,VALUTRADES,FCA,FCA,,http://www.valutrades.com/
NORMALIZED_REGULATOR_NAME,valutrades,VALUTRADES,FSA Seychelles,FSA Seychelles,,http://www.valutrades.com/
